"UniqueID","SEX","RACE","ETHNICITY","DOCNUM","COUNTY","RECVDT","INTKDT","RECFAC","RECVCD","INTKSTCD","CREDITCLASS","SENTENCE_TERM_YEARS","SENTENCE_TERM_MONTHS","SENTENCE_TERM_DAYS","person_id","admit_row_id"
37,"M","W",NA,"100302","21",2018-10-05,"10/05/2018","COA","2","2",NA,NA,NA,NA,"bc6b0d6773c7606d7fc9d2dfa9df6c2b",37
39,"M","W",NA,"100308","35",2021-06-25,"06/25/2021","COA","2","2",NA,NA,NA,NA,"49375467fa2abfcc45785dfd4d01da13",39
47,"M","W",NA,"100382","18",2018-11-16,"05/01/2015","NCF","33","54",NA,NA,NA,NA,"41eef73a1501e0234654b586ef3736b9",47
48,"M","W",NA,"100382","18",2019-11-14,"05/01/2015","RDC","33","54",NA,NA,NA,NA,"41eef73a1501e0234654b586ef3736b9",48
49,"M","W",NA,"100384","36",2019-04-23,"04/23/2019","COA","59","59",NA,NA,NA,NA,"85c6d27778d847c9119087d7a31ae112",49
51,"M","W",NA,"100386","87",2019-07-08,"07/08/2019","COA","2","2",NA,NA,NA,NA,"cd3295ecbb93e2620d1a3b67b569854c",51
52,"M","W",NA,"100386","87",2022-03-10,"2019-07-08","IYC","33","2",NA,NA,NA,NA,"cd3295ecbb93e2620d1a3b67b569854c",52
55,"M","W",NA,"100400","82",2018-12-28,"01/09/2015","BTC","33","2",NA,NA,NA,NA,"239f1cfeee61e736e905501c405f783b",55
56,"M","W",NA,"100400","82",2020-05-13,"05/13/2020","COA","2","2",NA,NA,NA,NA,"239f1cfeee61e736e905501c405f783b",56
58,"M","AI",NA,"100403","1",2023-02-01,"2015-12-04","RDC","34","57",NA,NA,NA,NA,"0ffb6d4098427b90cfc338c6629cf2fd",58
59,"M","W",NA,"100409","48",2020-04-24,"04/24/2020","COA","57","57",NA,NA,NA,NA,"0ad4c24669193fca47d3d6d30543b7d0",59
63,"M","W",NA,"100446","47",2019-04-17,"04/17/2019","COA","57","57",NA,NA,NA,NA,"8e8f99106bcdc0055cd04144b524222e",63
64,"M","W",NA,"100446","47",2022-07-27,"2019-04-17","RDC","40","57",NA,NA,NA,NA,"8e8f99106bcdc0055cd04144b524222e",64
66,"M","W",NA,"100451","49",2019-06-28,"04/03/2000","RDC","33","1",NA,NA,NA,NA,"2fafd54a90e71ebcf0f8a50c7fe8651b",66
67,"Male","White","Unknown","100451","Marion",2024-07-05,"2024-07-05",NA,NA,NA,"1","20","0","0","2fafd54a90e71ebcf0f8a50c7fe8651b",67
69,"M","W",NA,"100458","90",2021-10-06,"02/17/2011","NCF","33","2",NA,NA,NA,NA,"50227c0fd998c72986d146b111d6779a",69
73,"M","W",NA,"100466","34",2018-10-24,"04/06/2000","RDC","33","1",NA,NA,NA,NA,"7e23d3f7128e6672a76f23b69d348756",73
75,"M","W",NA,"100468","29",2021-11-18,"2021-11-18","COA","58","58",NA,NA,NA,NA,"0225cf1479fa626c73d6cb3f02550b6e",75
77,"M","W",NA,"100469","41",2023-02-02,"2023-02-02","COA","2","2",NA,NA,NA,NA,"72875ddab86857e7f580c251db105213",77
80,"M","W",NA,"100483","27",2020-03-10,"08/31/2007","ISF","33","2",NA,NA,NA,NA,"96eb554733014253d81c46e7e1be61dd",80
81,"F","W",NA,"100503","77",2018-12-31,"12/31/2018","RTC","2","2",NA,NA,NA,NA,"d137a7e4c1aec59dadc9ac02b9337c02",81
84,"M","W",NA,"100522","35",2018-06-05,"06/05/2018","COA","2","2",NA,NA,NA,NA,"c9e0e53134fab28fc20743bdd8980718",84
86,"F","B",NA,"100535","48",2019-05-08,"05/08/2019","COA","2","2",NA,NA,NA,NA,"130745e70d263ab5fea0577285b9d478",86
87,"F","B",NA,"100535","48",2020-05-08,"05/08/2019","COA","2","2",NA,NA,NA,NA,"130745e70d263ab5fea0577285b9d478",87
88,"F","B",NA,"100535","48",2023-02-22,"2023-02-22","COA","56","56",NA,NA,NA,NA,"130745e70d263ab5fea0577285b9d478",88
92,"M","W",NA,"100555","69",2023-02-15,"2023-02-15","COA","56","56",NA,NA,NA,NA,"99cf66f026b8af3858345166c7180444",92
94,"M","W",NA,"100618","65",2019-03-13,"03/13/2019","COA","2","2",NA,NA,NA,NA,"2c71ce8e09e909baa773b250d3b1daa3",94
96,"M","W",NA,"100620","25",2021-05-24,"05/24/2021","COA","2","2",NA,NA,NA,NA,"d66f84a3b721e35e6c9b473708ac97c5",96
97,"M","W",NA,"100640","2",2022-11-29,"2022-11-29","COA","57","57",NA,NA,NA,NA,"9d690264015f84a2c6be449ca84d00d4",97
98,"M","W",NA,"100654","47",2019-02-04,"02/04/2019","COA","2","2",NA,NA,NA,NA,"689dcf266ee6660131ae74533d0a3a01",98
99,"M","W",NA,"100654","47",2020-02-04,"02/04/2019","COA","2","2",NA,NA,NA,NA,"689dcf266ee6660131ae74533d0a3a01",99
101,"M","B",NA,"100684","15",2020-05-06,"05/06/2020","COA","2","2",NA,NA,NA,NA,"8e33a55472217f64bd5a62d5bdfdf8b4",101
103,"M","W",NA,"100689","64",2021-06-04,"04/17/2015","WCC","33","2",NA,NA,NA,NA,"a6cc3af3f46db3077512e38398128d2d",103
104,"M","W",NA,"100689","64",2023-03-17,"2015-04-17","WCC","33","2",NA,NA,NA,NA,"a6cc3af3f46db3077512e38398128d2d",104
105,"M","B",NA,"100691","18",2018-07-23,"07/23/2018","COA","2","2",NA,NA,NA,NA,"5225c9f259127bdc6b8b4ac93bb8ce35",105
107,"M","W",NA,"100717","32",2022-02-15,"2022-02-15","COA","2","2",NA,NA,NA,NA,"4e40835869d8ce1574012f79b268c179",107
108,"F","W",NA,"100733","16",2018-06-22,"06/22/2018","RTC","52","52",NA,NA,NA,NA,"fc5af5336602b0110634d5fcb62113c2",108
109,"F","W",NA,"100733","16",2021-04-05,"04/05/2021","COA","57","57",NA,NA,NA,NA,"fc5af5336602b0110634d5fcb62113c2",109
112,"M","W",NA,"100737","20",2018-11-29,"11/29/2018","COA","2","2",NA,NA,NA,NA,"90cb727008dd05fa25dbb3dc43be4c10",112
114,"F","W",NA,"100744","83",2018-11-28,"07/20/2016","RTC","33","2",NA,NA,NA,NA,"74bbe4cec3f9809646e287eccd2c2b2d",114
115,"F","W",NA,"100744","84",2020-09-22,"09/22/2020","COA","2","2",NA,NA,NA,NA,"74bbe4cec3f9809646e287eccd2c2b2d",115
122,"M","H","Hispanic","101021","82",2020-08-06,"08/06/2020","COA","2","2",NA,NA,NA,NA,"95c1488f7411f9bc7142a3c53724c066",122
127,"M","W",NA,"101067","53",2018-07-26,"07/26/2018","COA","2","2",NA,NA,NA,NA,"d3453c45a9228e70b6887e735e7f48d0",127
129,"M","W",NA,"101094","72",2021-05-10,"05/10/2021","COA","58","58",NA,NA,NA,NA,"9144e2285ebd6de39c209b59d4df3eb6",129
130,"M","W",NA,"101112","49",2019-11-06,"02/14/2006","RDC","34","2",NA,NA,NA,NA,"95c4c79c46d1f5a8c2ea73d81d4dd44b",130
131,"Male","White","Nonhispanic","101112","Marion",2025-04-17,"2025-07-18",NA,NA,NA,"B","4","0","0","95c4c79c46d1f5a8c2ea73d81d4dd44b",131
132,"Male","White","Nonhispanic","101112","Marion",2025-07-18,"2025-07-18",NA,NA,NA,"B","4","0","0","95c4c79c46d1f5a8c2ea73d81d4dd44b",132
133,"Male","White","Nonhispanic","101112","Marion",2026-02-27,"45856.4375",NA,NA,NA,"B","4","0","0","95c4c79c46d1f5a8c2ea73d81d4dd44b",133
137,"F","W",NA,"101161","48",2018-06-07,"12/16/2016","RTC","20","55",NA,NA,NA,NA,"8a0c8886fe94f1024ce614f2b2ea2d22",137
138,"F","W",NA,"101161","48",2019-03-07,"12/16/2016","RTC","34","55",NA,NA,NA,NA,"8a0c8886fe94f1024ce614f2b2ea2d22",138
139,"F","W",NA,"101161","48",2020-03-07,"12/16/2016","RTC","34","55",NA,NA,NA,NA,"8a0c8886fe94f1024ce614f2b2ea2d22",139
142,"M","W",NA,"101182","39",2020-01-16,"01/16/2020","COA","2","2",NA,NA,NA,NA,"be60d153bfd619238e7b4d6e45959f8e",142
145,"F","W",NA,"101195","49",2021-11-04,"2021-11-04","COA","2","2",NA,NA,NA,NA,"7cdfa268fac577e81743108b5ff27db5",145
146,"M","W",NA,"101204","68",2021-03-15,"03/15/2021","COA","2","2",NA,NA,NA,NA,"85e5e1cf0d1a3d7eed989cb8b70289bf",146
150,"Male","White","Nonhispanic","101274","Marion",2025-10-22,"45952.429861111108",NA,NA,NA,"B","8","0","0","6c79b0ae3bb66a6c888a9868b9463a88",150
151,"M","W",NA,"101277","41",2018-11-02,"11/02/2018","RDC","2","2",NA,NA,NA,NA,"5707d66742e92ef977b9b1ab5598936a",151
152,"M","W",NA,"101288","29",2020-08-27,"08/27/2020","COA","2","2",NA,NA,NA,NA,"ec949d2bd5762b373fda24704135d118",152
155,"M","W",NA,"10129","2",2021-09-24,"09/24/2021","COA","2","2",NA,NA,NA,NA,"809979d979df6195b5f3ada2d9dec813",155
156,"M","W",NA,"101308","46",2019-11-21,"11/21/2019","COA","2","2",NA,NA,NA,NA,"7ef77d341b3c72a3b8fd94f2aec8e116",156
158,"Male","White","Unknown","101337","Marion",2026-04-21,"46133.481944444444",NA,NA,NA,"B","1","0","0","848522a4d7967e4a6454c8e040c4cd9e",158
161,"M","W",NA,"101372","50",2021-08-19,"08/19/2021","COA","2","2",NA,NA,NA,NA,"104f6dcf3787defdfff3086a6265e604",161
165,"M","W",NA,"101377","69",2021-05-06,"03/14/2018","NCF","33","53",NA,NA,NA,NA,"38e04c8baf9a7219c3be162f9bb42601",165
167,"M","W",NA,"101402","18",2023-04-26,"2023-04-26","COA","57","57",NA,NA,NA,NA,"01b0dd7fe9791221ae7f6b240300ba63",167
170,"M","W",NA,"101410","48",2019-04-02,"04/02/2019","COA","2","2",NA,NA,NA,NA,"f5de474316882d845961dabc00c207bb",170
171,"M","W",NA,"101410","48",2020-04-02,"04/02/2019","COA","2","2",NA,NA,NA,NA,"f5de474316882d845961dabc00c207bb",171
172,"M","W",NA,"101416","69",2019-01-17,"01/17/2019","RDC","2","2",NA,NA,NA,NA,"4630d863674e98d2051fb2db766d80a6",172
174,"M","W",NA,"101441","54",2019-11-08,"11/08/2019","COA","2","2",NA,NA,NA,NA,"9856fbd6cd9b74ff48c7838340971dbf",174
175,"M","W",NA,"101441","54",2021-10-08,"11/08/2019","IYC","41","2",NA,NA,NA,NA,"9856fbd6cd9b74ff48c7838340971dbf",175
177,"M","W",NA,"101443","54",2018-10-11,"10/11/2018","RDC","2","2",NA,NA,NA,NA,"9af2ae316b57f25825a80a3d2dc8c2c4",177
178,"M","W",NA,"101501","47",2019-07-25,"07/25/2019","COA","2","2",NA,NA,NA,NA,"78cc9ce3ed2d58534dac209c96b614a0",178
179,"M","W",NA,"101501","47",2021-11-15,"2019-07-25","BTC","33","2",NA,NA,NA,NA,"78cc9ce3ed2d58534dac209c96b614a0",179
180,"F","W",NA,"101506","27",2020-10-01,"10/01/2020","COA","2","2",NA,NA,NA,NA,"f24e311dfb0b15994bbd75ca39f8b75d",180
184,"M","W",NA,"101536","89",2020-11-02,"11/02/2020","COA","2","2",NA,NA,NA,NA,"0f6be9a1ac038d0d72d165e5942d9086",184
185,"F","W",NA,"101568","49",2019-11-14,"11/14/2019","RTC","2","2",NA,NA,NA,NA,"0abad82689c12896258a29e943f2dcdc",185
186,"M","W",NA,"101571","13",2018-04-17,"04/17/2018","COA","57","57",NA,NA,NA,NA,"357e2a26228532684a1b0851a3db2e23",186
189,"M","B",NA,"101596","89",2021-11-03,"2021-11-03","COA","2","2",NA,NA,NA,NA,"2b38507f351124257c13a2d690dc7e6a",189
191,"M","W",NA,"101634","28",2023-03-22,"2021-07-29","RDC","34","2",NA,NA,NA,NA,"92ff60934f6c3174ef857c3ab4b63fd2",191
194,"M","W",NA,"101643","16",2018-08-29,"08/29/2018","COA","2","2",NA,NA,NA,NA,"21c365918b2f009440d939d24063f5d3",194
195,"M","W",NA,"101643","16",2021-05-14,"08/29/2018","IYC","33","2",NA,NA,NA,NA,"21c365918b2f009440d939d24063f5d3",195
196,"M","W",NA,"101643","30",2022-03-29,"2018-08-29","RDC","40","2",NA,NA,NA,NA,"21c365918b2f009440d939d24063f5d3",196
198,"F","W",NA,"101647","25",2019-03-21,"02/03/2015","RTC","33","56",NA,NA,NA,NA,"eb10243d40a3cc964bdc2c717047720a",198
200,"M","B",NA,"101659","73",2018-09-05,"06/27/2008","IYC","33","2",NA,NA,NA,NA,"f8eafabb6c63760400d66d178d58fcaf",200
201,"M","B",NA,"101659","73",2023-04-19,"2008-06-27","IYC","33","2",NA,NA,NA,NA,"f8eafabb6c63760400d66d178d58fcaf",201
205,"Male","White","Nonhispanic","101712","Marion",2023-07-10,"2007-07-11",NA,NA,NA,"1","3","0","0","e92db9349af9adab5b7977e101900cdd",205
206,"M","W",NA,"101714","19",2021-10-27,"10/27/2021","COA","2","2",NA,NA,NA,NA,"1c09b289cc279155b1fae702c40d9ad7",206
208,"M","W",NA,"101727","72",2021-11-15,"2021-11-15","COA","59","59",NA,NA,NA,NA,"acc9c3a906f59b14e33413097a85cc8c",208
209,"M","W",NA,"101736","41",2020-04-16,"04/16/2020","COA","57","57",NA,NA,NA,NA,"8943516accf3951fa260476d38583d5e",209
210,"M","W",NA,"101752","48",2019-08-01,"08/01/2019","COA","52","52",NA,NA,NA,NA,"2c5f68107697553a570def7e71d7e51a",210
211,"Male","White","Nonhispanic","101752","Marion",2023-10-10,"2023-10-10",NA,NA,NA,"B","6","0","0","2c5f68107697553a570def7e71d7e51a",211
212,"M","W",NA,"101757","61",2022-12-05,"2000-04-28","NCF","33","1",NA,NA,NA,NA,"e3b86769d23494376d767defb0986b75",212
214,"M","W",NA,"101759","7",2019-11-19,"11/19/2019","COA","57","57",NA,NA,NA,NA,"e320b9b16052ee2afdb69f3ec9a444b8",214
215,"M","W",NA,"101759","41",2022-12-21,"2022-12-21","COA","2","2",NA,NA,NA,NA,"e320b9b16052ee2afdb69f3ec9a444b8",215
216,"M","W",NA,"101761","54",2020-04-27,"04/27/2020","COA","57","57",NA,NA,NA,NA,"7e95ff7d53808921a84c940f8c7dea1c",216
219,"M","W",NA,"101829","25",2023-03-21,"2023-03-21","COA","2","2",NA,NA,NA,NA,"568d1619f6f9f2888fdbdc665972479a",219
220,"M","W",NA,"101840","41",2019-03-18,"03/18/2019","COA","2","2",NA,NA,NA,NA,"ebc2597d8eaf0fb85b0b0dadf14d3044",220
221,"M","W",NA,"101840","41",2020-09-03,"03/18/2019","RDC","33","2",NA,NA,NA,NA,"ebc2597d8eaf0fb85b0b0dadf14d3044",221
224,"M","W",NA,"101842","67",2019-11-07,"11/07/2019","COA","56","56",NA,NA,NA,NA,"fc1d93db2d958400035a17a70645186b",224
226,"M","W",NA,"101850","48",2022-12-13,"2022-12-13","COA","2","2",NA,NA,NA,NA,"968cd8e5f253a4c45eb05a2059564dc0",226
231,"M","W",NA,"101875","49",2018-08-21,"09/19/2017","RDC","33","2",NA,NA,NA,NA,"30c5012aa0af6305a5531f1966c607df",231
232,"Male","White","Nonhispanic","101875","Marion",2023-05-18,"2023-05-18",NA,NA,NA,"B","1","4","11","30c5012aa0af6305a5531f1966c607df",232
233,"Male","White","Nonhispanic","101875","Marion",2024-08-15,"2024-09-06",NA,NA,NA,"B","1","4","11","30c5012aa0af6305a5531f1966c607df",233
235,"M","W",NA,"101876","28",2020-09-29,"10/18/2013","ISF","41","52",NA,NA,NA,NA,"203eb8a33d561a3db3d013969eb0b6b6",235
236,"F","W",NA,"101888","15",2018-06-19,"06/19/2018","COA","53","53",NA,NA,NA,NA,"95785abe7d6eb2f2da91b5ee67e12fa6",236
238,"M","W",NA,"101921","49",2020-03-12,"03/12/2020","COA","58","58",NA,NA,NA,NA,"4238f758385aa166a5b6ae1a669aa388",238
243,"M","W",NA,"101932","8",2018-08-01,"08/01/2018","COA","2","2",NA,NA,NA,NA,"22b9cd70126d8ada223f386dd240a373",243
244,"M","W",NA,"101933","13",2018-06-20,"06/20/2018","RDC","2","2",NA,NA,NA,NA,"07623214736e006833cf7067ba342cd3",244
245,"M","W",NA,"101936","57",2018-06-19,"06/19/2018","RDC","2","2",NA,NA,NA,NA,"6422868ae534fcd1a81bf3eb13e3bb73",245
246,"M","W",NA,"101936","57",2022-11-07,"2022-11-07","COA","56","56",NA,NA,NA,NA,"6422868ae534fcd1a81bf3eb13e3bb73",246
249,"M","W",NA,"101984","92",2018-12-20,"01/18/2007","RDC","33","2",NA,NA,NA,NA,"ba053830971dad50d43fe06befcc4bd2",249
251,"M","W",NA,"102009","49",2018-05-03,"05/03/2018","COA","2","2",NA,NA,NA,NA,"8095fc657bd2f97c4de1d5c29b16ef4e",251
252,"F","W",NA,"102012","6",2019-11-07,"11/07/2019","COA","2","2",NA,NA,NA,NA,"24f8d2238f1ac1e9f22ae35511e21e86",252
253,"M","W",NA,"102022","47",2022-01-13,"2022-01-13","COA","57","57",NA,NA,NA,NA,"6651b8852bbead9c1558afa0dba0d56d",253
258,"M","W",NA,"102093","15",2022-11-03,"2022-11-03","COA","2","2",NA,NA,NA,NA,"0cdc14767787d977dfa90869ab2dd9b0",258
260,"M","B",NA,"102127","27",2018-11-02,"11/02/2018","RDC","2","2",NA,NA,NA,NA,"7e0800a55947e745c59f472558937740",260
264,"M","W",NA,"102146","77",2019-02-26,"02/26/2019","COA","2","2",NA,NA,NA,NA,"5a90c27bc84c2aa854516ea98608e8ac",264
268,"M","W",NA,"102166","14",2019-03-25,"03/25/2019","COA","58","58",NA,NA,NA,NA,"c2cf80dbaf73b3981517baf94af866e9",268
270,"M","W",NA,"102168","49",2019-05-17,"05/17/2019","COA","2","2",NA,NA,NA,NA,"513ce0d90b4f001a3746782f27b77d80",270
273,"M","W",NA,"102187","54",2023-02-28,"2023-02-28","COA","56","56",NA,NA,NA,NA,"19093509e238894c7ce2cb5f5297c710",273
275,"M","W",NA,"102199","88",2018-05-31,"05/31/2018","COA","52","52",NA,NA,NA,NA,"5f313bae65543690b418f90ae34f70e3",275
277,"M","W",NA,"102209","49",2018-07-06,"07/16/2009","RDC","42","2",NA,NA,NA,NA,"eeac01ccd3605ed99804d268f471301b",277
278,"M","W",NA,"102209","49",2020-02-18,"07/16/2009","RDC","33","2",NA,NA,NA,NA,"eeac01ccd3605ed99804d268f471301b",278
281,"M","W",NA,"102244","8",2019-02-20,"02/20/2019","RDC","2","2",NA,NA,NA,NA,"6b486342aa48c6f5b15899fec1db528c",281
284,"M","B",NA,"102258","3",2022-02-10,"2022-02-10","COA","57","57",NA,NA,NA,NA,"3800ced11fb74e9774ba8c45c36b1990",284
289,"M","W",NA,"102327","54",2020-01-28,"01/28/2020","COA","56","56",NA,NA,NA,NA,"a4be1e7acba8216520dd9726af9ebd23",289
290,"M","W",NA,"102327","54",2022-12-16,"2020-01-28","ISF","3","56",NA,NA,NA,NA,"a4be1e7acba8216520dd9726af9ebd23",290
298,"M","W",NA,"102396","50",2018-09-19,"09/19/2018","COA","57","57",NA,NA,NA,NA,"f5909517320a4e2e730c753a05069bbd",298
301,"M","W",NA,"102423","47",2022-04-11,"2022-04-11","COA","57","57",NA,NA,NA,NA,"85db41d367d50e712ee1e2b2f9d47fd6",301
302,"M","W",NA,"102425","46",2019-10-11,"08/25/2000","WCC","33","1",NA,NA,NA,NA,"1dd2f372d2d0fbc044efa77e0a89b2c2",302
307,"M","W",NA,"102491","73",2020-06-24,"06/24/2020","COA","2","2",NA,NA,NA,NA,"ad9ef29f1dd8edf3a9bb4839606043d3",307
309,"M","W",NA,"102494","73",2018-08-15,"08/15/2018","RDC","2","2",NA,NA,NA,NA,"b964db2dd10a22b3bfbabce53b57fb38",309
310,"M","W",NA,"102494","73",2022-03-30,"2022-03-30","COA","57","57",NA,NA,NA,NA,"b964db2dd10a22b3bfbabce53b57fb38",310
312,"M","W",NA,"102507","43",2018-09-24,"09/24/2018","COA","2","2",NA,NA,NA,NA,"976ef0a434a52bb033689d59b2b9ac0a",312
315,"M","W",NA,"102528","54",2022-05-17,"2022-05-17","COA","57","57",NA,NA,NA,NA,"17883b091edf76b0647ca37418b74fd4",315
318,"M","W",NA,"102538","5",2022-12-13,"2022-12-13","COA","2","2",NA,NA,NA,NA,"98825ed28d2a5d832df2451e7aba092e",318
322,"M","W",NA,"102554","49",2020-05-20,"05/20/2020","COA","2","2",NA,NA,NA,NA,"4e23141150400c515fe63d5301c56f62",322
324,"M","B",NA,"102561","71",2019-05-09,"05/09/2019","COA","57","57",NA,NA,NA,NA,"c354dfa24e26e237b19220e68441ce9e",324
325,"M","B",NA,"102561","71",2020-05-09,"05/09/2019","COA","57","57",NA,NA,NA,NA,"c354dfa24e26e237b19220e68441ce9e",325
329,"M","W",NA,"102597","53",2018-10-30,"10/30/2018","RDC","2","2",NA,NA,NA,NA,"13b8e70bd6cf96798ec157c41337266e",329
330,"M","W",NA,"102610","50",2021-03-18,"03/18/2021","COA","2","2",NA,NA,NA,NA,"4c9b53df4a4d3b0489d30427f103cdf3",330
335,"M","W",NA,"102643","41",2020-10-26,"10/26/2020","COA","2","2",NA,NA,NA,NA,"c072472d360d441281d1233240812801",335
337,"F","W",NA,"102646","21",2019-01-08,"07/17/2012","RTC","33","2",NA,NA,NA,NA,"ed9ce559b90aaa33be78697d681b046c",337
338,"F","W",NA,"102646","21",2020-01-08,"07/17/2012","RTC","33","2",NA,NA,NA,NA,"ed9ce559b90aaa33be78697d681b046c",338
339,"M","B",NA,"102647","18",2019-07-03,"07/03/2019","RDC","57","57",NA,NA,NA,NA,"58340d72727c934e3f645255f1f393ab",339
342,"M","W",NA,"102679","16",2019-07-30,"07/30/2019","COA","2","2",NA,NA,NA,NA,"80ec237501ab990530d7623e941038eb",342
343,"M","W",NA,"102686","15",2018-06-25,"06/25/2018","COA","56","56",NA,NA,NA,NA,"394492b0bfdd50d754fcbbdd5ac2c6c4",343
345,"M","W",NA,"102707","5",2022-08-16,"2022-08-16","COA","57","57",NA,NA,NA,NA,"5438210497b1dda01123f1c3b9352584",345
349,"M","W",NA,"102724","24",2020-08-31,"08/31/2020","COA","2","2",NA,NA,NA,NA,"efe915c5242d26df9d503a6fd2fc7a40",349
350,"M","U",NA,"102732","71",2018-12-12,"12/12/2018","COA","2","2",NA,NA,NA,NA,"4a35bfd0d5ee41a4a9d78d4bc03c9b46",350
351,"M","W",NA,"102752","55",2022-05-19,"2022-05-19","COA","2","2",NA,NA,NA,NA,"8b686194309f8166e9ca9b71492f3ae1",351
353,"M","W",NA,"102755","53",2019-05-22,"11/18/2015","IYC","33","2",NA,NA,NA,NA,"02c9a414ad315c49a4a7dc8737af30c5",353
354,"M","W",NA,"102755","53",2021-07-26,"11/18/2015","BTC","41","2",NA,NA,NA,NA,"02c9a414ad315c49a4a7dc8737af30c5",354
358,"M","B",NA,"102847","34",2019-02-19,"02/19/2019","RDC","57","57",NA,NA,NA,NA,"3995821807383500b2d453a5b38f2901",358
359,"M","B",NA,"102847","34",2022-08-10,"2022-08-10","COA","58","58",NA,NA,NA,NA,"3995821807383500b2d453a5b38f2901",359
361,"M","W",NA,"102848","34",2018-12-19,"12/19/2018","COA","54","54",NA,NA,NA,NA,"a22a3e5355c6c893669f1afb2dc5ac00",361
366,"M","W",NA,"102870","2",2020-03-03,"03/03/2020","COA","56","56",NA,NA,NA,NA,"89690e92a634bdf37239b2c42b698502",366
370,"M","W",NA,"102933","90",2018-04-27,"11/16/2004","RDC","33","2",NA,NA,NA,NA,"b28a9972c068ea8bfb47f154937f8366",370
372,"M","W",NA,"102937","41",2023-03-02,"2023-03-02","COA","2","2",NA,NA,NA,NA,"d3fee8db6bba76b02faadde94108ad9d",372
373,"M","W",NA,"102939","55",2022-05-20,"2022-05-20","COA","57","57",NA,NA,NA,NA,"5fd7b65569a8dfd456f26d300c9d52ce",373
374,"M","B",NA,"102951","20",2019-06-05,"06/05/2019","COA","58","58",NA,NA,NA,NA,"02e30145da48ce147e51ea4877f1ce11",374
375,"M","W",NA,"103035","21",2022-04-22,"2022-04-22","COA","59","59",NA,NA,NA,NA,"0a31ef8f8516da5e065191f3794bf846",375
377,"M","U",NA,"103058","3",2018-09-21,"03/03/2009","RDC","33","2",NA,NA,NA,NA,"e07228771407176b704304e6fec051eb",377
378,"F","W",NA,"103077","2",2019-07-08,"07/08/2019","COA","56","56",NA,NA,NA,NA,"daa18fa68d8615f4d29b7c59f5bb7d61",378
